"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
29,35,1.60541652646158,0.045627577037327,1.51722263539072,1.531110279491,1.68119718809148,1.60498428638149,1.68119718809148,1.68119718809148,1.69606677722144
30,36,1.64957492365808,0.0430242569515424,1.56631676686723,1.57945000179576,1.72097572679096,1.64920088547014,1.72097572679096,1.72097572679096,1.73495869038346
31,37,1.66505713222138,0.0407446793378973,1.58614753207136,1.59860969913469,1.73263819218455,1.66472479728417,1.73263819218455,1.73263819218455,1.74585535015091
32,38,1.598305573181,0.0378303799876026,1.52501109031588,1.53659333149874,1.66103589031302,1.5980071133302,1.66103589031302,1.66103589031302,1.67329616678429
33,39,1.4785774359596,0.0344507960360627,1.41181858438931,1.42237092323432,1.53569661753314,1.47830987717224,1.53569661753314,1.53569661753314,1.54685679164667
34,40,1.26535702573724,0.0302478183636686,1.20676018442086,1.21601824137381,1.31551792617608,1.26511601351463,1.31551792617608,1.31551792617608,1.32532350977038
35,41,1.25173605193937,0.0287850505419694,1.19594794526972,1.20476815783216,1.29945657399429,1.25151541086444,1.29945657399429,1.29945657399429,1.30877803528313
36,42,1.37925244634408,0.0292795981426228,1.32245645524197,1.33144774213341,1.42776387059433,1.37904526358806,1.42776387059433,1.42776387059433,1.43722583327743
37,43,1.37871712585294,0.0285441950826972,1.32333335056321,1.33210446700676,1.4260017113922,1.37852014312679,1.4260017113922,1.4260017113922,1.43522033168619
38,44,1.41087927212255,0.028022112433025,1.35648597407889,1.36510557337202,1.45728578206947,1.41069375650308,1.45728578206947,1.45728578206947,1.46632683489526
39,45,1.41957536641681,0.0271493351892953,1.36685713221829,1.37521581643184,1.46452528450335,1.41940229343545,1.46452528450335,1.46452528450335,1.47327715556647
40,46,1.55578341645155,0.0273915719550359,1.50255514946759,1.51100412540765,1.60111104635538,1.55562266476375,1.60111104635538,1.60111104635538,1.60992521845824
