date,seaport,ships_arrived,passengers,positive_cases,Rt_mean
19-06-21,total,6,2447,34,0.689736835
20-06-21,total,6,2447,34,0.688870952
21-06-21,total,6,2447,34,0.689079158
23-06-21,total,6,2447,34,0.700517724
24-06-21,total,6,2447,34,0.7133485
25-06-21,total,6,2447,34,0.72725172
26-06-21,total,6,2447,34,0.741756554
28-06-21,total,6,2447,34,0.763784208
29-06-21,total,6,2447,34,0.783795387
30-06-21,total,6,2447,34,0.796281667
01-07-21,total,6,2447,34,0.799361678
02-07-21,total,6,2447,34,0.799867872
03-07-21,total,6,2447,34,0.799981337
04-07-21,total,6,2447,34,0.79820604
05-07-21,total,6,2447,34,0.790208857
06-07-21,total,6,2447,34,0.787431018
07-07-21,total,6,2447,34,0.785979668
08-07-21,total,6,2447,34,0.786192793
09-07-21,total,6,2447,34,0.787955459
10-07-21,total,6,2447,34,0.782974876
11-07-21,total,6,2447,34,0.778935022
13-07-21,total,6,2447,34,0.786220418
14-07-21,total,6,2447,34,0.79439896
15-07-21,total,6,2447,34,0.801647019
16-07-21,total,6,2447,34,0.811187046
17-07-21,total,6,2447,34,0.824134985
19-07-21,total,6,2447,34,0.84850888
20-07-21,total,6,2447,34,0.874197021
21-07-21,total,6,2447,34,0.896583403
22-07-21,total,6,2447,34,0.923078559
23-07-21,total,6,2447,34,0.954651603
24-07-21,total,6,2447,34,0.985292106
25-07-21,total,6,2447,34,1.011356245
26-07-21,total,6,2447,34,1.030257265
27-07-21,total,6,2447,34,1.040740872
28-07-21,total,6,2447,34,1.050521155
29-07-21,total,6,2447,34,1.052913885
30-07-21,total,6,2447,34,1.045616235
31-07-21,total,6,2447,34,1.033354371
01-08-21,total,6,2447,34,1.020707873
02-08-21,total,6,2447,34,1.010717872
03-08-21,total,6,2447,34,1.004329683
04-08-21,total,6,2447,34,1.002461678
05-08-21,total,6,2447,34,0.997085284
06-08-21,total,6,2447,34,0.992792024
07-08-21,total,6,2447,34,0.989207221
08-08-21,total,6,2447,34,0.985989125
09-08-21,total,6,2447,34,0.982253183
10-08-21,total,6,2447,34,0.978403287
11-08-21,total,6,2447,34,0.990296585
12-08-21,total,6,2447,34,0.976489022
13-08-21,total,6,2447,34,0.960080572
14-08-21,total,6,2447,34,0.944354543
15-08-21,total,6,2447,34,0.930974264
16-08-21,total,6,2447,34,0.922013436
17-08-21,total,6,2447,34,0.91781915
18-08-21,total,6,2447,34,0.893046586
19-08-21,total,6,2447,34,0.897688033
20-08-21,total,6,2447,34,0.906283677
21-08-21,total,6,2447,34,0.91830602
22-08-21,total,6,2447,34,0.930189653
23-08-21,total,6,2447,34,0.940820802
24-08-21,total,6,2447,34,0.949600996
25-08-21,total,6,2447,34,0.961526195
26-08-21,total,6,2447,34,0.973274907
27-08-21,total,6,2447,34,0.984456738
28-08-21,total,6,2447,34,0.993114341
29-08-21,total,6,2447,34,1.00218609
30-08-21,total,6,2447,34,1.007272233
31-08-21,total,6,2447,34,1.010440662
01-09-21,total,6,2447,34,1.011591632
02-09-21,total,6,2447,34,1.012183795
03-09-21,total,6,2447,34,1.015581515
04-09-21,total,6,2447,34,1.018840996
05-09-21,total,6,2447,34,1.017263056
06-09-21,total,6,2447,34,1.015837697
07-09-21,total,6,2447,34,1.016365779
08-09-21,total,6,2447,34,1.019265185
09-09-21,total,6,2447,34,1.0209373
10-09-21,total,6,2447,34,1.023052991
11-09-21,total,6,2447,34,1.020753354
12-09-21,total,6,2447,34,1.01959638
13-09-21,total,6,2447,34,1.024066598
14-09-21,total,6,2447,34,1.033263835
15-09-21,total,6,2447,34,1.034966618
18-09-21,total,6,2447,34,1.034944967
19-09-21,total,6,2447,34,1.027481452
20-09-21,total,6,2447,34,1.017523199
21-09-21,total,6,2447,34,1.008265666
22-09-21,total,6,2447,34,0.996624391
23-09-21,total,6,2447,34,0.980141248
24-09-21,total,6,2447,34,0.963015058
25-09-21,total,6,2447,34,0.944056388
26-09-21,total,6,2447,34,0.929288833
28-09-21,total,6,2447,34,0.921869503
30-09-21,total,6,2447,34,0.915272348
01-10-21,total,6,2447,34,0.909062786
02-10-21,total,6,2447,34,0.904212872
03-10-21,total,6,2447,34,0.90304863
04-10-21,total,6,2447,34,0.904770163
05-10-21,total,6,2447,34,0.90555937
06-10-21,total,6,2447,34,0.906237119
07-10-21,total,6,2447,34,0.909312986
08-10-21,total,6,2447,34,0.913527404
09-10-21,total,6,2447,34,0.915941427
10-10-21,total,6,2447,34,0.917597681
12-10-21,total,6,2447,34,0.921690654
14-10-21,total,6,2447,34,0.927779967
15-10-21,total,6,2447,34,0.933355661
16-10-21,total,6,2447,34,0.937815441
17-10-21,total,6,2447,34,0.94122829
18-10-21,total,6,2447,34,0.944782678
19-10-21,total,6,2447,34,0.946358507
20-10-21,total,6,2447,34,0.94640367
21-10-21,total,6,2447,34,0.944873138
22-10-21,total,6,2447,34,0.9418089
23-10-21,total,6,2447,34,0.937996114
24-10-21,total,6,2447,34,0.93459205
25-10-21,total,6,2447,34,0.931157044
26-10-21,total,6,2447,34,0.928860776
27-10-21,total,6,2447,34,0.927543644
28-10-21,total,6,2447,34,0.926145649
29-10-21,total,6,2447,34,0.918355202
30-10-21,total,6,2447,34,0.911160443
31-10-21,total,6,2447,34,0.904467547
01-11-21,total,6,2447,34,0.900107921
02-11-21,total,6,2447,34,0.898269925
03-11-21,total,6,2447,34,0.897661373
04-11-21,total,6,2447,34,0.898589345
05-11-21,total,6,2447,34,0.90897466
06-11-21,total,6,2447,34,0.920748385
07-11-21,total,6,2447,34,0.93257757
08-11-21,total,6,2447,34,0.943227156
09-11-21,total,6,2447,34,0.950228894
10-11-21,total,6,2447,34,0.954864676
11-11-21,total,6,2447,34,0.957835615
12-11-21,total,6,2447,34,0.960436529
13-11-21,total,6,2447,34,0.961542784
14-11-21,total,6,2447,34,0.961177515
15-11-21,total,6,2447,34,0.959883848
16-11-21,total,6,2447,34,0.959174746
17-11-21,total,6,2447,34,0.960371044
18-11-21,total,6,2447,34,0.962060912
19-11-21,total,6,2447,34,0.965487972
20-11-21,total,6,2447,34,0.96877408
21-11-21,total,6,2447,34,0.972417973
22-11-21,total,6,2447,34,0.975360073
23-11-21,total,6,2447,34,0.977370732
24-11-21,total,6,2447,34,0.97775164
25-11-21,total,6,2447,34,0.978005882
26-11-21,total,6,2447,34,0.97589392
27-11-21,total,6,2447,34,0.978737193
28-11-21,total,6,2447,34,0.98116356
29-11-21,total,6,2447,34,0.98363278
30-11-21,total,6,2447,34,0.985823764
01-12-21,total,6,2447,34,0.986490575
02-12-21,total,6,2447,34,0.986281085
03-12-21,total,6,2447,34,0.984606389
04-12-21,total,6,2447,34,0.977531673
05-12-21,total,6,2447,34,0.967329344
06-12-21,total,6,2447,34,0.957459783
07-12-21,total,6,2447,34,0.949224355
08-12-21,total,6,2447,34,0.941635094
09-12-21,total,6,2447,34,0.935486273
10-12-21,total,6,2447,34,0.931119454
11-12-21,total,6,2447,34,0.927639051
13-12-21,total,6,2447,34,0.930046472
14-12-21,total,6,2447,34,0.934115016
15-12-21,total,6,2447,34,0.940514147
16-12-21,total,6,2447,34,0.949779773
17-12-21,total,6,2447,34,0.957003124
18-12-21,total,6,2447,34,0.966471142
19-12-21,total,6,2447,34,0.977042712
20-12-21,total,6,2447,34,0.984683039
21-12-21,total,6,2447,34,0.994292986
22-12-21,total,6,2447,34,1.029763476
23-12-21,total,6,2447,34,1.097821755
24-12-21,total,6,2447,34,1.223983266
25-12-21,total,6,2447,34,1.408124124
26-12-21,total,6,2447,34,1.575682551
27-12-21,total,6,2447,34,1.708361911
28-12-21,total,6,2447,34,1.953280577
29-12-21,total,6,2447,34,2.427467264
30-12-21,total,6,2447,34,2.969622068
31-12-21,total,6,2447,34,3.353005434
01-01-22,total,6,2447,34,3.463002081
02-01-22,total,6,2447,34,3.361384111
03-01-22,total,6,2447,34,3.112308495
04-01-22,total,6,2447,34,2.904560114
05-01-22,total,6,2447,34,2.753118813
06-01-22,total,6,2447,34,2.522369359
07-01-22,total,6,2447,34,2.258487265
08-01-22,total,6,2447,34,1.999314329
09-01-22,total,6,2447,34,1.785444977
10-01-22,total,6,2447,34,1.652393699
12-01-22,total,6,2447,34,1.539509038
14-01-22,total,6,2447,34,1.425090852
15-01-22,total,6,2447,34,1.341853326
16-01-22,total,6,2447,34,1.281211374
17-01-22,total,6,2447,34,1.240434551
18-01-22,total,6,2447,34,1.209383728
19-01-22,total,6,2447,34,
20-01-22,total,6,2447,34,
21-01-22,total,6,2447,34,
22-01-22,total,6,2447,34,
23-01-22,total,6,2447,34,
24-01-22,total,6,2447,34,
25-01-22,total,6,2447,34,
13-02-22,total,6,2447,34,
