Date,T,U
09.05.2021 23:30,30.2,74
09.05.2021 20:30,30.4,72
09.05.2021 17:30,32.2,60
09.05.2021 14:30,35,47
09.05.2021 11:30,35.2,51
09.05.2021 08:30,32.2,62
09.05.2021 05:30,28.6,80
09.05.2021 02:30,29,76
08.05.2021 23:30,30,73
08.05.2021 20:30,30.4,70
08.05.2021 17:30,31.6,64
08.05.2021 14:30,35.2,49
08.05.2021 11:30,34.8,49
08.05.2021 08:30,31,69
08.05.2021 05:30,29,80
08.05.2021 02:30,29.6,77
07.05.2021 23:30,30.2,74
07.05.2021 20:30,30.6,73
07.05.2021 17:30,31.4,64
07.05.2021 14:30,35.2,49
07.05.2021 11:30,35.4,48
07.05.2021 08:30,31.6,71
07.05.2021 05:30,29,85
07.05.2021 02:30,29,86
06.05.2021 23:30,29.8,81
06.05.2021 20:30,30.4,76
06.05.2021 17:30,33,62
06.05.2021 14:30,35.2,49
06.05.2021 11:30,35.4,54
06.05.2021 08:30,32.2,68
06.05.2021 05:30,28.8,86
05.05.2021 23:30,30,80
05.05.2021 20:30,30.4,77
05.05.2021 17:30,32.4,62
05.05.2021 14:30,34.4,56
05.05.2021 11:30,35,52
05.05.2021 08:30,31.4,75
05.05.2021 05:30,28,85
05.05.2021 02:30,28.6,83
04.05.2021 23:30,29.8,73
04.05.2021 20:30,30.2,72
04.05.2021 17:30,32.4,65
04.05.2021 14:30,35.2,53
04.05.2021 11:30,35,53
04.05.2021 08:30,31,73
04.05.2021 05:30,27.4,87
04.05.2021 02:30,28.8,85
03.05.2021 23:30,29.4,82
03.05.2021 20:30,30,75
03.05.2021 17:30,31.4,67
03.05.2021 14:30,35,53
03.05.2021 11:30,35,53
03.05.2021 08:30,30.8,72
03.05.2021 05:30,28,86
03.05.2021 02:30,29,85
02.05.2021 23:30,29.8,80
02.05.2021 20:30,30.2,77
02.05.2021 17:30,31.4,68
02.05.2021 14:30,34.6,52
02.05.2021 11:30,34.2,57
02.05.2021 08:30,31.4,71
02.05.2021 05:30,27.8,90
02.05.2021 02:30,28.6,85
01.05.2021 23:30,29.2,82
01.05.2021 20:30,30.2,78
01.05.2021 17:30,32,75
01.05.2021 14:30,34.6,59
01.05.2021 11:30,35.2,55
01.05.2021 08:30,31.2,77
01.05.2021 05:30,28.2,86
01.05.2021 02:30,29.4,85
30.04.2021 23:30,29.8,82
30.04.2021 20:30,30,80
30.04.2021 17:30,31.4,68
30.04.2021 14:30,34.6,57
30.04.2021 11:30,35,56
30.04.2021 08:30,32.4,70
30.04.2021 05:30,29,85
30.04.2021 02:30,29.6,85
29.04.2021 23:30,30,81
29.04.2021 20:30,30.4,78
29.04.2021 17:30,32.6,55
29.04.2021 14:30,36,48
29.04.2021 11:30,36.2,47
29.04.2021 08:30,31.8,67
29.04.2021 05:30,28.6,91
29.04.2021 02:30,29.2,85
28.04.2021 23:30,29.6,83
28.04.2021 20:30,30.2,83
28.04.2021 17:30,33.2,58
28.04.2021 14:30,36,50
28.04.2021 11:30,36.6,43
28.04.2021 08:30,30.6,73
28.04.2021 05:30,28.4,88
28.04.2021 02:30,28.6,89
27.04.2021 23:30,29.4,83
27.04.2021 20:30,30,74
27.04.2021 17:30,32.4,58
27.04.2021 14:30,35.2,51
27.04.2021 11:30,33.8,63
27.04.2021 08:30,31.2,72
27.04.2021 05:30,28,85
