Date,T,U
12.06.2021 20:30,28.4,85
12.06.2021 17:30,29.8,80
12.06.2021 14:30,28,89
12.06.2021 11:30,25.2,96
12.06.2021 08:30,26,95
12.06.2021 05:30,25.8,97
12.06.2021 02:30,26.4,97
11.06.2021 23:30,26,95
11.06.2021 20:30,26.2,95
11.06.2021 17:30,25.6,95
11.06.2021 14:30,28,87
11.06.2021 11:30,29.6,81
11.06.2021 08:30,26,95
11.06.2021 05:30,25.6,93
11.06.2021 02:30,25.6,91
10.06.2021 23:30,24.8,95
10.06.2021 20:30,25.4,93
10.06.2021 17:30,24.8,90
10.06.2021 14:30,29.6,77
10.06.2021 11:30,26,90
10.06.2021 08:30,26.4,90
10.06.2021 05:30,25.2,95
10.06.2021 02:30,24.6,95
09.06.2021 23:30,25.2,93
09.06.2021 20:30,25,91
09.06.2021 17:30,25.8,93
09.06.2021 14:30,25.2,95
09.06.2021 11:30,25.6,98
09.06.2021 08:30,26.2,95
09.06.2021 05:30,26.4,89
09.06.2021 02:30,26.6,89
08.06.2021 23:30,26.8,86
08.06.2021 20:30,28.6,82
08.06.2021 17:30,29.4,75
08.06.2021 14:30,27.4,78
08.06.2021 11:30,27.4,92
08.06.2021 08:30,27.6,92
08.06.2021 05:30,26.6,90
08.06.2021 02:30,28.2,83
07.06.2021 23:30,28.8,78
07.06.2021 20:30,29.6,71
07.06.2021 17:30,30.8,64
07.06.2021 14:30,32.6,61
07.06.2021 11:30,27.4,84
07.06.2021 08:30,26.4,92
07.06.2021 05:30,25,91
07.06.2021 02:30,28.4,79
06.06.2021 23:30,28.2,87
06.06.2021 20:30,29.8,73
06.06.2021 17:30,31.6,66
06.06.2021 14:30,33,56
06.06.2021 11:30,30,75
06.06.2021 08:30,26.6,90
06.06.2021 05:30,24.8,91
06.06.2021 02:30,25.4,90
05.06.2021 23:30,29.2,76
05.06.2021 20:30,30.4,74
05.06.2021 17:30,31.6,71
05.06.2021 14:30,33,62
05.06.2021 11:30,32.4,63
05.06.2021 08:30,28.8,74
05.06.2021 05:30,28,78
