Date,State,Confirmed,New Cases,T,H
20/07/2020,Kerala,12480,821,27.0,87.0
21/07/2020,Kerala,13274,794,30.0,71.0
22/07/2020,Kerala,13994,720,29.0,81.0
23/07/2020,Kerala,15032,1038,29.0,78.0
24/07/2020,Kerala,16110,1078,28.33,79.0
25/07/2020,Kerala,16995,885,29.33,76.0
26/07/2020,Kerala,18098,1103,28.67,84.0
27/07/2020,Kerala,19025,927,29.33,75.0
28/07/2020,Kerala,19727,702,28.33,84.0
29/07/2020,Kerala,20894,1167,25.33,91.0
30/07/2020,Kerala,21797,903,27.33,81.0
31/07/2020,Kerala,22303,506,28.33,79.0
01/08/2020,Kerala,23613,1310,27.67,84.0
02/08/2020,Kerala,24742,1129,27.33,86.0
03/08/2020,Kerala,25911,1169,27.67,84.0
04/08/2020,Kerala,26873,962,28.33,87.0
05/08/2020,Kerala,27956,1083,29.0,83.0
06/08/2020,Kerala,29151,1195,27.33,91.0
07/08/2020,Kerala,30449,1298,26.33,91.0
08/08/2020,Kerala,31700,1251,25.33,96.0
09/08/2020,Kerala,33120,1420,25.33,94.0
10/08/2020,Kerala,34331,1211,27.0,86.0
11/08/2020,Kerala,35515,1184,18.33,61.0
12/08/2020,Kerala,36932,1417,28.67,82.0
13/08/2020,Kerala,38144,1212,28.67,82.0
14/08/2020,Kerala,39708,1564,29.0,79.0
15/08/2020,Kerala,41277,1569,28.67,86.0
16/08/2020,Kerala,42885,1608,28.33,82.0
17/08/2020,Kerala,44415,1530,28.33,87.0
18/08/2020,Kerala,46140,1725,29.0,84.0
19/08/2020,Kerala,47898,1758,29.0,79.0
20/08/2020,Kerala,50231,2333,28.67,86.0
21/08/2020,Kerala,52199,1968,29.33,78.0
22/08/2020,Kerala,54182,1983,29.0,83.0
23/08/2020,Kerala,56354,2172,29.0,78.0
24/08/2020,Kerala,58262,1908,29.67,79.0
25/08/2020,Kerala,59504,1242,29.33,80.0
26/08/2020,Kerala,61879,2375,29.0,81.0
27/08/2020,Kerala,64355,2476,29.0,78.0
28/08/2020,Kerala,66761,2406,29.0,78.0
29/08/2020,Kerala,69304,2543,29.33,76.0
30/08/2020,Kerala,71701,2397,30.0,75.0
31/08/2020,Kerala,73855,2154,30.0,73.0
