,Date,T,U
0,19.06.2021,31.53,65.0
0,20.06.2021,33.47,62.0
0,21.06.2021,31.2,68.0
0,22.06.2021,30.93,74.0
0,23.06.2021,32.0,78.0
0,24.06.2021,30.6,73.0
0,25.06.2021,32.73,60.0
0,26.06.2021,31.07,67.0
0,27.06.2021,29.67,81.0
0,28.06.2021,28.13,86.0
0,29.06.2021,20.2,48.0
0,30.06.2021,30.73,80.0
0,01.07.2021,29.87,76.0
0,02.07.2021,29.13,79.0
0,03.07.2021,29.53,77.0
0,04.07.2021,30.0,80.0
0,05.07.2021,30.4,74.0
0,06.07.2021,30.33,75.0
0,07.07.2021,30.67,70.0
0,08.07.2021,29.0,81.0
0,09.07.2021,27.2,84.0
0,10.07.2021,29.87,77.0
0,11.07.2021,28.87,73.0
0,12.07.2021,29.8,72.0
0,13.07.2021,28.53,82.0
0,14.07.2021,28.67,79.0
0,15.07.2021,27.8,80.0
0,16.07.2021,28.93,82.0
0,17.07.2021,28.2,87.0
0,18.07.2021,28.53,76.0
0,19.07.2021,28.47,81.0
0,20.07.2021,29.13,76.0
0,21.07.2021,28.47,80.0
0,22.07.2021,28.33,73.0
0,23.07.2021,28.6,78.0
0,24.07.2021,31.53,67.0
0,25.07.2021,31.33,64.0
0,26.07.2021,31.0,70.0
0,27.07.2021,31.4,69.0
0,28.07.2021,31.53,63.0
0,29.07.2021,30.4,69.0
0,30.07.2021,30.73,64.0
0,31.07.2021,30.33,67.0
0,01.08.2021,30.33,69.0
0,02.08.2021,31.0,66.0
0,03.08.2021,31.8,62.0
0,04.08.2021,31.93,58.0
0,05.08.2021,30.87,68.0
0,06.08.2021,30.67,72.0
0,07.08.2021,30.8,72.0
0,08.08.2021,31.07,75.0
0,09.08.2021,31.07,78.0
0,10.08.2021,30.73,72.0
0,11.08.2021,30.2,78.0
