T,H,CLE,Confirmed,DI,GA,MT,New Cases,TJ,State,Date,ON,Rt
31.87,3,0,1,0,1,0,1,1,Tamil Nadu,10/04/2020,0,1.25026647225595
32.4,2,0,1,0,1,0,1,1,Tamil Nadu,11/04/2020,0,1.11571377975322
32.13,3,0,1,0,1,0,1,1,Tamil Nadu,12/04/2020,0,1.03052656114443
32.47,3,0,1,0,1,0,1,1,Tamil Nadu,13/04/2020,0,1.04158841833541
31.93,3,0,1,0,1,0,1,1,Tamil Nadu,14/04/2020,0,1.12562668850505
32.73,3,0,1,0,1,1,1,1,Tamil Nadu,15/04/2020,0,1.0396547283919
32.6,3,0,1,0,1,1,1,1,Tamil Nadu,16/04/2020,0,1.00385473963132
33.6,2,0,1,0,1,1,1,1,Tamil Nadu,17/04/2020,0,0.8510977194881159
34.2,2,0,1,0,1,1,1,1,Tamil Nadu,18/04/2020,0,0.8079305258023409
33.73,3,0,1,0,1,1,1,1,Tamil Nadu,19/04/2020,0,0.805096661321255
33.4,3,0,1,0,1,1,1,1,Tamil Nadu,20/04/2020,0,0.8333388661645942
33.93,2,0,1,0,1,1,1,1,Tamil Nadu,21/04/2020,0,0.752002572614346
33.93,2,0,1,0,1,1,1,1,Tamil Nadu,22/04/2020,0,0.886801585381439
34.53,2,0,1,0,1,1,1,1,Tamil Nadu,23/04/2020,0,0.917392722695892
34.53,3,0,1,0,1,1,1,1,Tamil Nadu,24/04/2020,0,1.02387432837932
35.4,2,0,1,0,1,1,1,1,Tamil Nadu,25/04/2020,0,1.08671161765265
27.13,1,0,1,0,1,1,1,1,Tamil Nadu,26/04/2020,0,1.13352334109071
32.47,3,0,1,0,1,1,1,1,Tamil Nadu,27/04/2020,0,1.01720147710139
33.33,3,0,1,0,1,1,1,1,Tamil Nadu,28/04/2020,0,1.01756252473921
31.87,2,0,1,0,1,1,1,1,Tamil Nadu,29/04/2020,0,1.11190313399973
31.360211946050104,3,0,1,0,1,1,1,1,Tamil Nadu,30/04/2020,0,1.27425609351828
34.73,2,0,1,0,1,1,1,1,Tamil Nadu,01/05/2020,0,1.50490516933808
34.47,3,0,1,0,1,1,1,1,Tamil Nadu,02/05/2020,0,1.73586474033393
34.73,2,0,1,0,1,1,1,1,Tamil Nadu,03/05/2020,0,1.94410310005466
34.4,3,0,1,0,1,1,1,1,Tamil Nadu,04/05/2020,0,2.10175001916397
34.93,2,0,1,0,2,1,2,1,Tamil Nadu,05/05/2020,0,2.5714825160052404
33.73,3,0,1,0,2,1,2,1,Tamil Nadu,06/05/2020,0,2.6825067577042203
35.53,2,0,1,0,2,1,2,1,Tamil Nadu,07/05/2020,0,2.8959821204789304
35.33,2,0,1,0,2,1,2,1,Tamil Nadu,08/05/2020,0,2.6497569834520496
34.93,2,0,1,0,2,1,2,1,Tamil Nadu,09/05/2020,0,2.3396301657227903
34.0,3,0,1,0,2,1,2,1,Tamil Nadu,10/05/2020,0,2.01618134247857
34.27,3,0,1,0,2,1,2,2,Tamil Nadu,11/05/2020,0,1.82981773115646
33.13,3,0,1,0,2,1,2,2,Tamil Nadu,12/05/2020,0,1.6535807665556597
34.4,2,0,1,0,2,1,2,2,Tamil Nadu,13/05/2020,0,1.50907200741506
34.27,3,0,1,0,2,1,2,2,Tamil Nadu,14/05/2020,0,1.27000972205425
34.47,3,0,1,0,2,1,1,2,Tamil Nadu,15/05/2020,0,1.1232530656761102
35.53,2,0,1,0,2,1,1,2,Tamil Nadu,16/05/2020,0,1.01433205972844
34.47,2,0,1,0,2,1,1,2,Tamil Nadu,17/05/2020,0,0.9696067592663308
35.13,2,0,1,0,2,1,2,2,Tamil Nadu,18/05/2020,0,0.9524739418827952
36.13,2,0,1,0,2,1,2,2,Tamil Nadu,19/05/2020,0,0.893420872614346
37.87,1,0,1,0,2,1,2,2,Tamil Nadu,20/05/2020,0,0.896038923225934
23.87,1,0,1,0,2,1,2,2,Tamil Nadu,21/05/2020,0,0.969434719698358
37.0,2,0,1,0,2,1,2,2,Tamil Nadu,22/05/2020,0,1.07233874313517
35.6,3,0,1,0,2,1,2,2,Tamil Nadu,23/05/2020,0,1.17464386328078
35.2,3,0,1,0,2,1,2,2,Tamil Nadu,24/05/2020,0,1.2377376266196205
35.07,3,0,1,0,2,1,2,2,Tamil Nadu,25/05/2020,0,1.23498762291811
35.47,3,0,1,0,2,1,2,2,Tamil Nadu,26/05/2020,0,1.24721399342548
35.27,3,0,1,0,2,1,2,2,Tamil Nadu,27/05/2020,0,1.18109851008598
36.13,2,0,1,0,2,1,2,2,Tamil Nadu,28/05/2020,0,1.14367102267815
36.47,2,0,1,0,2,1,2,2,Tamil Nadu,29/05/2020,0,1.10986359487542
35.93,2,0,1,0,2,1,2,2,Tamil Nadu,30/05/2020,0,1.09359538301038
35.0,2,0,1,0,2,1,2,2,Tamil Nadu,31/05/2020,0,1.1024483449224298
34.87,2,0,1,0,2,1,2,2,Tamil Nadu,01/06/2020,0,1.15383526396199
35.33,2,0,1,0,2,1,2,2,Tamil Nadu,02/06/2020,0,1.19721555390754
35.93,2,0,1,0,2,1,2,2,Tamil Nadu,03/06/2020,0,1.24641559601415
36.0,2,0,1,0,2,2,2,2,Tamil Nadu,04/06/2020,0,1.28486145704172
35.33,2,0,1,0,2,2,2,2,Tamil Nadu,05/06/2020,0,1.3221594502438705
35.07,2,0,1,0,2,2,2,2,Tamil Nadu,06/06/2020,0,1.3446096874339095
35.13,2,0,1,0,2,2,2,2,Tamil Nadu,07/06/2020,0,1.3461818173351698
36.07,2,0,1,0,2,2,3,2,Tamil Nadu,08/06/2020,0,1.31573426651461
34.6,2,0,1,0,2,2,3,2,Tamil Nadu,09/06/2020,0,1.28720091405459
33.0,3,0,1,0,2,2,3,2,Tamil Nadu,10/06/2020,0,1.2853052711516395
30.53,3,0,1,0,2,2,3,2,Tamil Nadu,11/06/2020,0,1.29065894267479
33.13,2,0,1,0,2,2,3,2,Tamil Nadu,12/06/2020,0,1.27771169153676
35.47,1,0,1,0,2,2,3,2,Tamil Nadu,13/06/2020,0,1.26809723148387
36.27,2,0,1,0,2,2,3,2,Tamil Nadu,14/06/2020,0,1.25565780707673
37.0,2,0,1,0,2,2,3,2,Tamil Nadu,15/06/2020,0,1.23644441952372
37.2,2,0,1,0,2,2,3,2,Tamil Nadu,16/06/2020,0,1.20256205409431
36.6,2,0,1,0,2,2,3,2,Tamil Nadu,17/06/2020,0,1.13377818467413
35.6,2,0,2,0,2,2,3,2,Tamil Nadu,18/06/2020,0,1.10934852013442
36.73,2,0,2,0,2,2,3,2,Tamil Nadu,19/06/2020,0,1.09668683265999
35.27,2,0,2,0,2,2,3,2,Tamil Nadu,20/06/2020,0,1.08155972247648
33.87,2,0,2,0,2,2,3,2,Tamil Nadu,21/06/2020,0,1.09185110883875
34.6,2,0,2,0,2,2,4,2,Tamil Nadu,22/06/2020,0,1.11517540874985
34.67,2,0,2,0,2,2,4,2,Tamil Nadu,23/06/2020,0,1.15987006890521
33.67,2,0,2,0,3,2,4,2,Tamil Nadu,24/06/2020,0,1.20789112888057
32.27,3,0,2,0,3,2,4,2,Tamil Nadu,25/06/2020,0,1.22253148186032
33.27,2,0,2,0,3,2,4,2,Tamil Nadu,26/06/2020,0,1.27130785520311
33.6,3,0,2,0,3,2,4,2,Tamil Nadu,27/06/2020,0,1.31782905999321
31.27,1,0,2,0,3,2,4,2,Tamil Nadu,28/06/2020,0,1.33620028600653
32.47,3,0,2,0,3,2,4,2,Tamil Nadu,29/06/2020,0,1.3450131816116595
33.27,2,0,2,0,3,2,4,2,Tamil Nadu,30/06/2020,0,1.33277982695774
31.33,3,1,2,0,3,2,4,2,Tamil Nadu,01/07/2020,0,1.32453079157956
30.13,1,1,2,0,3,2,4,2,Tamil Nadu,02/07/2020,0,1.29345257822682
33.4,2,1,2,0,3,2,4,2,Tamil Nadu,03/07/2020,0,1.25554677235297
30.6,3,1,3,0,3,2,4,2,Tamil Nadu,04/07/2020,0,1.2161132328166298
31.2,3,1,3,0,3,2,4,2,Tamil Nadu,05/07/2020,0,1.17952702925536
31.8,3,1,3,0,3,2,4,2,Tamil Nadu,06/07/2020,0,1.13738892959201
34.47,2,1,3,0,3,2,4,2,Tamil Nadu,07/07/2020,0,1.09168609514563
33.33,2,1,3,0,3,2,4,2,Tamil Nadu,08/07/2020,0,1.0480201372731
32.6,2,1,3,0,3,2,4,2,Tamil Nadu,09/07/2020,0,1.02152527255356
28.67,1,1,3,0,3,2,4,2,Tamil Nadu,10/07/2020,0,1.00448585896513
29.53,3,1,3,0,3,2,4,2,Tamil Nadu,11/07/2020,0,0.975216540007125
33.33,2,1,3,0,3,2,4,2,Tamil Nadu,12/07/2020,0,0.9624695829055228
28.53,1,1,3,0,3,2,4,2,Tamil Nadu,13/07/2020,0,0.968698071029258
30.53,3,1,3,0,3,2,4,2,Tamil Nadu,14/07/2020,0,0.9929951628473248
29.8,1,1,3,0,3,2,4,2,Tamil Nadu,15/07/2020,0,1.03261902408551
29.47,1,1,3,0,3,2,4,2,Tamil Nadu,16/07/2020,0,1.06272220038725
30.8,3,1,3,0,3,2,4,2,Tamil Nadu,17/07/2020,0,1.07041900840487
31.0,3,1,3,0,3,2,4,2,Tamil Nadu,18/07/2020,0,1.08997115530289
27.2,1,1,3,0,3,2,4,2,Tamil Nadu,19/07/2020,0,1.10410335059659
31.2,3,1,3,0,3,2,4,2,Tamil Nadu,20/07/2020,0,1.1106623843911
